SITE_NAME,COEFF_VARIATION
0084BR,0.45574249176334186
0084KO,0.18494441598851796
0085BB,0.06271114410812095
0085BR,0.46439666840968225
0085KO,0.056861665524857476
0086BB,0.06750318662676431
0086BR,0.1199979516784769
0086KO,0.06264826211555459
0087BB,0.09804005060731134
0087BR,0.25960092007700697
0087KO,0.09249321497108132
0088BB,0.07766353252964159
0088BR,0.08463267954529305
0088KO,0.08414982948981338
0089BB,1.5876635175705431
0089BR,0.520311509218039
0089KO,0.40104952602307775
0090BB,0.10852299411657305
0090BR,0.11429866974043747
0090KO,0.12235828817091927
0091BB,0.07677045045338052
0091BR,0.10367386139553049
0091KO,0.5091301005504818
0092BB,0.05231249125863317
0092BR,0.10593183245526995
0092KO,0.08577251642770434
0093BB,0.09490429258668341
0093BR,0.42744319796768987
0093KO,0.12873453071573007
0094BB,0.045436803667419826
0094BR,0.036817408396487714
0094KO,0.09061137876485643
0095BR,0.3200045287121602
0095KO,0.3551206416076377
0096BB,0.10837197852680748
0096BR,0.062431823682515514
0096KO,0.1518848453083867
0097BB,0.11220597745907633
0097BR,0.01018783434110288
0097KO,0.07490636062067224
0098BB,1.4793796562459443
0098BR,0.3170663606884518
0098KO,0.1322139338428877
0099BB,0.1465078733256038
0099BR,0.6800515196950966
0099KO,0.041253735224508245
0100BB,0.03140025776709631
0100BR,0.5748249581504987
0100KO,0.33769977036044657
0101BB,0.036683723852366415
0101BR,0.05520487863989003
0101KO,0.21171272441168926
0102BB,0.11565581155254752
0102BR,0.13907825626444242
0103BB,0.20034821257241284
0103BR,0.18738121887291873
0103KO,0.04163929761387362
0104BR,0.5999927525723696
0104KO,0.07710218753667292
0105BB,0.2777224555434777
0105BR,0.06521756639808882
0105KO,0.26929693421937895
0106BB,0.14010109516639746
0106BR,0.04638319793452632
0106KO,0.27036894017168356
0107BB,0.09117533646783745
0107BR,0.19483454235616984
0107KO,0.23687233086901488
0108BB,0.15347713914022104
0108BR,0.07351733375906966
0108KO,0.8089381220556797
0109BB,0.0848077657374905
0109BR,0.0695581916281903
0110BB,1.4498677128547128
0110BR,0.1134463945476416
0110KO,0.20299117814056591
0111BB,0.1797586030974311
0111BR,0.02854815474389333
0111KO,0.2648990715275502
0112BB,0.05794554726681813
0112BR,0.055758370114280954
0112KO,0.09880061040450981
0113BB,0.008507678332080233
0113BR,0.004979625219623574
0113KO,0.5011779916476287
0114BB,0.1395250985915462
0114BR,0.2847984985934543
0115BB,0.004214205031807574
0115BR,0.054997620257485176
0115KO,0.058969369065484514
0116BB,1.3776866163912096
0116BR,0.3037556493351862
0117BB,0.4011206811838068
0117BR,0.08362895202546597
0118BB,0.03614374422044285
0118BR,0.042568301208554704
0118KO,0.057636967091979165
0119BB,0.2495480298540191
0119BR,0.023084223575566748
0120BB,0.11575922657151241
0120BR,0.19900743809506055
0120KO,0.6223274996459219
0121BR,0.06557248518868576
0122BB,0.20286273306307603
0122BR,0.10836291106183082
0123BB,1.3041604305546697
0123BR,0.6524234685230839
0124BB,1.0575476300550468
0124BR,0.10974057982080508
0125BB,0.2079133813119838
0125BR,0.011098180203340526
0125KO,0.08183846588783222
0126BB,0.07222569612488701
0126BR,0.029748361031473637
0126KO,0.11835516957388865
0127BB,0.016042624813652293
0127BR,0.10507783505655179
0128BB,0.6950735849298809
0128BR,0.04249063508484092
0128KO,0.4633073953668165
0129BB,0.14450317894895923
0129BR,0.0619279471402479
0129KO,0.11405756835183499
0130BB,0.9933839789357221
0130BR,0.08448116433823047
0130KO,0.8747070428344734
0131BB,0.08940853134270997
0131BR,0.1290701566295208
0131KO,0.07257111188329568
0132BR,0.010800234493357697
0132KO,0.11299001546132074
0133BB,1.4351111086948782
0133BR,0.04064004150680111
0133KO,0.10648585865715078
0134BB,0.05639481783239034
0134BR,0.6036984064628016
0134KO,0.06753102680919827
0135BB,1.3399474738825137
0135KO,0.03294000471539336
0136BB,0.12191430806537935
0136BR,0.3849529141802322
0136KO,0.03700432959225745
0137BB,1.5698528987525253
0137BR,0.43918273924974544
0137KO,0.044530496093554216
0138BB,0.019028397438763816
0138BR,0.07462351802638655
0138KO,0.006916204961637505
0139BB,2.2200265775450725
0139BR,0.08662567673545628
0139KO,0.09793168757862149
0140BB,0.12831401102507106
0140BR,0.6963663196714182
0140KO,0.1382026009798005
0141BB,0.15081696843401304
0141BR,0.691328909649548
0141KO,0.03331500865059072
0142BB,0.0008498312119488452
0142BR,0.3984841140102006
0143BB,0.8629556596550624
0143BR,0.547543209504026
0143KO,1.6969962525625344
0144BB,0.06142336939374463
0144BR,0.029764484318541326
0144KO,0.044745594256903644
0145BB,0.2566161076297029
0145BR,0.20900086219322642
0146BB,0.055169606704275835
0146BR,0.5694576243555391
0146KO,0.04236032515863311
0147BB,1.4142135623730951
0147BR,0.11642099185163886
0147KO,0.05754476653636093
0148BB,0.000439940619451725
0148BR,0.1052545384731569
0149BB,0.306979872684333
0149BR,0.09973048002490743
0150BB,0.05527606145909311
0150BR,0.3486978244692459
0150KO,0.05724243360663148
0151BB,0.2623661020490781
0151BR,0.8331357398424266
